file,title,level,text,page
E0H1CM114.json,RFP:Request for Proposal To Present a Proposal for Developing the Business Plan for the Ontario Digital Library  ,H2,The Business Plan to be Developed ,5
E0H1CM114.json,RFP:Request for Proposal To Present a Proposal for Developing the Business Plan for the Ontario Digital Library  ,H3,Milestones ,6
E0H1CM114.json,RFP:Request for Proposal To Present a Proposal for Developing the Business Plan for the Ontario Digital Library  ,H2,Approach and Specific Proposal Requirements ,6
E0H1CM114.json,RFP:Request for Proposal To Present a Proposal for Developing the Business Plan for the Ontario Digital Library  ,H2,Evaluation and Awarding of Contract ,7
E0H1CM114.json,RFP:Request for Proposal To Present a Proposal for Developing the Business Plan for the Ontario Digital Library  ,H2,Appendix A: ODL Envisioned Phases & Funding ,8
E0H1CM114.json,RFP:Request for Proposal To Present a Proposal for Developing the Business Plan for the Ontario Digital Library  ,H3,Phase I: Business Planning ,8
E0H1CM114.json,RFP:Request for Proposal To Present a Proposal for Developing the Business Plan for the Ontario Digital Library  ,H3,Phase II: Implementing and Transitioning ,8
E0H1CM114.json,RFP:Request for Proposal To Present a Proposal for Developing the Business Plan for the Ontario Digital Library  ,H3,Phase III: Operating and Growing the ODL ,8
E0H1CM114.json,RFP:Request for Proposal To Present a Proposal for Developing the Business Plan for the Ontario Digital Library  ,H2,Appendix B: ODL Steering Committee Terms of Reference ,10
E0H1CM114.json,RFP:Request for Proposal To Present a Proposal for Developing the Business Plan for the Ontario Digital Library  ,H3,1. Preamble ,10
E0H1CM114.json,RFP:Request for Proposal To Present a Proposal for Developing the Business Plan for the Ontario Digital Library  ,H3,2. Terms of Reference ,10
E0H1CM114.json,RFP:Request for Proposal To Present a Proposal for Developing the Business Plan for the Ontario Digital Library  ,H3,3. Membership ,10
E0H1CM114.json,RFP:Request for Proposal To Present a Proposal for Developing the Business Plan for the Ontario Digital Library  ,H3,4. Appointment Criteria and Process ,11
E0H1CM114.json,RFP:Request for Proposal To Present a Proposal for Developing the Business Plan for the Ontario Digital Library  ,H3,5. Term ,11
E0H1CM114.json,RFP:Request for Proposal To Present a Proposal for Developing the Business Plan for the Ontario Digital Library  ,H3,6. Chair ,11
E0H1CM114.json,RFP:Request for Proposal To Present a Proposal for Developing the Business Plan for the Ontario Digital Library  ,H3,7. Meetings ,11
E0H1CM114.json,RFP:Request for Proposal To Present a Proposal for Developing the Business Plan for the Ontario Digital Library  ,H3,8. Lines of Accountability and Communication ,11
E0H1CM114.json,RFP:Request for Proposal To Present a Proposal for Developing the Business Plan for the Ontario Digital Library  ,H3,9. Financial and Administrative Policies ,12
E0H1CM114.json,RFP:Request for Proposal To Present a Proposal for Developing the Business Plan for the Ontario Digital Library  ,H2,Appendix C: ODL’s Envisioned Electronic Resources ,13
STEMPathwaysFlyer.json,,H1,Parsippany -Troy Hills STEM Pathways,0
STEMPathwaysFlyer.json,,H2,PATHWAY OPTIONS,0
STEMPathwaysFlyer.json,,H2,Elective Course Offerings,1
STEMPathwaysFlyer.json,,H3,What Colleges Say!,1
TOPJUMP-PARTY-INVITATION-20161003-V01.json,,H1,HOPE To SEE You THERE! ,0
